kata
nget
kuh
ngit
utih
guh
gih
ngong
ngih
gring
gung
ngat
utang
brung
ngah
yung
ngus
nahwu
ngai
nyet
nyor
asam
ngu
ngai
umat
umang
ngur
asah
ngau
arus
krat
rif
angit
